,difficult,merge_time,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cond_ticks_avg,cond_ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,Easy,0,9.6,5.829,31.733,25.28,16.2,14.77,115.767,101.802,0.00543,0.00419,0.16304
1,Easy,1,11.3,7.47,36.1,29.431,11.6,9.412,115.767,101.802,0.00617,0.00441,0.18505
2,Easy,2,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.0057,0.00425,0.17103
3,Easy,3,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00575,0.00443,0.17258
4,Easy,4,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00673,0.00574,0.20204
5,Easy,5,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00457,0.0036,0.13708
6,Easy,6,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.0045,0.00353,0.13503
7,Easy,7,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00463,0.00352,0.13903
8,Easy,8,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.0044,0.00356,0.13203
9,Easy,9,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.0045,0.00356,0.13503
10,Easy,10,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00445,0.00349,0.13359
11,Easy,11,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.0045,0.00334,0.13503
12,Easy,12,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00453,0.00341,0.13603
13,Easy,13,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00463,0.00356,0.13897
14,Easy,14,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00464,0.0036,0.1393
15,Easy,15,11.367,7.563,36.5,30.162,11.533,9.295,115.767,101.802,0.00466,0.00352,0.13984
