,difficult,merge_time,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,Easy,0,18.9,17.341,50.333,49.166,37.733,31.827,0.00522,0.00525,0.15654
1,Easy,1,15.633,12.944,40.1,35.169,37.733,31.827,0.00525,0.00527,0.15755
2,Easy,2,16.0,13.173,40.6,35.657,37.733,31.827,0.0051,0.005,0.15304
3,Easy,3,16.233,13.469,40.833,35.879,37.733,31.827,0.00503,0.00517,0.15103
4,Easy,4,16.233,13.531,40.967,36.237,37.733,31.827,0.00507,0.00503,0.15204
5,Easy,5,16.167,13.424,40.633,35.631,37.733,31.827,0.00504,0.00506,0.15108
6,Easy,6,16.167,13.424,40.633,35.631,37.733,31.827,0.00513,0.00521,0.15404
7,Easy,7,16.167,13.424,40.633,35.631,37.733,31.827,0.00509,0.00505,0.15258
8,Easy,8,16.167,13.424,40.633,35.631,37.733,31.827,0.00503,0.00506,0.15103
9,Easy,9,16.167,13.424,40.633,35.631,37.733,31.827,0.0052,0.00521,0.15604
10,Easy,10,16.167,13.424,40.633,35.631,37.733,31.827,0.0056,0.00635,0.16804
11,Easy,11,16.167,13.424,40.633,35.631,37.733,31.827,0.00513,0.00518,0.15403
12,Easy,12,16.167,13.424,40.633,35.631,37.733,31.827,0.00505,0.00503,0.15158
13,Easy,13,16.167,13.424,40.633,35.631,37.733,31.827,0.00503,0.00514,0.15104
14,Easy,14,16.167,13.424,40.633,35.631,37.733,31.827,0.00488,0.00507,0.14645
15,Easy,15,16.167,13.424,40.633,35.631,37.733,31.827,0.00513,0.00513,0.15404
16,Easy,16,16.167,13.424,40.633,35.631,37.733,31.827,0.00489,0.00513,0.14657
17,Easy,17,16.167,13.424,40.633,35.631,37.733,31.827,0.00525,0.00519,0.15759
18,Easy,18,16.167,13.424,40.633,35.631,37.733,31.827,0.005,0.00515,0.15004
19,Easy,19,16.167,13.424,40.633,35.631,37.733,31.827,0.0049,0.00506,0.14704
20,Easy,20,16.167,13.424,40.633,35.631,37.733,31.827,0.00507,0.00512,0.15203
