,difficult,merge_time,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,Hard,0,309.325,436.706,806.675,1882.796,69.3,69.468,0.10195,0.16355,4.07787
1,Hard,1,361.45,582.927,619.025,1414.553,69.3,69.468,0.10577,0.17274,4.2309
2,Hard,2,366.85,593.901,591.825,1348.428,69.3,69.468,0.10607,0.16823,4.2429
3,Hard,3,366.1,591.816,578.55,1322.716,69.3,69.468,0.10571,0.17196,4.22833
4,Hard,4,368.75,592.411,573.85,1306.241,69.3,69.468,0.10692,0.17278,4.27689
5,Hard,5,366.275,589.065,583.875,1355.826,69.3,69.468,0.106,0.16839,4.23994
6,Hard,6,366.325,586.297,580.125,1340.11,69.3,69.468,0.10626,0.17297,4.25035
7,Hard,7,366.525,587.678,574.1,1322.857,69.3,69.468,0.10734,0.17349,4.29352
8,Hard,8,367.725,586.26,575.9,1327.694,69.3,69.468,0.10627,0.17053,4.25099
9,Hard,9,367.85,586.438,577.125,1334.646,69.3,69.468,0.1058,0.17178,4.23199
10,Hard,10,367.775,586.005,581.325,1353.053,69.3,69.468,0.10695,0.17175,4.278
11,Hard,11,367.45,585.162,586.375,1371.014,69.3,69.468,0.106,0.16855,4.23999
12,Hard,12,367.15,586.477,588.175,1379.775,69.3,69.468,0.10622,0.17186,4.24899
13,Hard,13,367.625,586.052,587.775,1379.187,69.3,69.468,0.10587,0.17014,4.23499
14,Hard,14,367.525,585.966,588.125,1379.784,69.3,69.468,0.10736,0.17552,4.2942
15,Hard,15,367.25,585.94,586.625,1377.858,69.3,69.468,0.10714,0.1709,4.28574
16,Hard,16,367.15,585.889,587.175,1378.846,69.3,69.468,0.10615,0.17021,4.24598
17,Hard,17,367.15,585.889,587.225,1378.846,69.3,69.468,0.10722,0.17292,4.2889
18,Hard,18,367.325,585.873,586.9,1378.846,69.3,69.468,0.10483,0.16713,4.19336
19,Hard,19,367.275,585.91,586.9,1378.846,69.3,69.468,0.10475,0.17029,4.18992
20,Hard,20,367.2,585.944,586.6,1378.849,69.3,69.468,0.10534,0.17189,4.21375
