,difficult,merge_time,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,Medium,0,64.6,97.697,159.4,355.155,50.2,43.297,0.0206,0.03444,0.61813
1,Medium,1,75.133,127.05,139.6,295.364,50.2,43.297,0.02014,0.03245,0.60414
2,Medium,2,76.967,129.163,137.5,275.761,50.2,43.297,0.0205,0.03573,0.61515
3,Medium,3,76.967,129.831,133.367,268.919,50.2,43.297,0.02014,0.03283,0.60414
4,Medium,4,77.467,130.702,134.667,269.663,50.2,43.297,0.0208,0.03249,0.62407
5,Medium,5,77.433,130.583,133.567,266.089,50.2,43.297,0.02,0.03241,0.60014
6,Medium,6,77.3,130.698,132.267,263.592,50.2,43.297,0.0201,0.03277,0.60314
7,Medium,7,77.3,130.698,132.033,263.532,50.2,43.297,0.0199,0.03261,0.59714
8,Medium,8,77.133,130.601,132.2,263.574,50.2,43.297,0.0199,0.03247,0.59714
9,Medium,9,77.267,130.678,132.467,263.649,50.2,43.297,0.02077,0.03252,0.62314
10,Medium,10,77.267,130.678,132.733,263.732,50.2,43.297,0.0202,0.03261,0.60614
11,Medium,11,77.267,130.678,133.0,263.824,50.2,43.297,0.0208,0.03641,0.62415
12,Medium,12,77.267,130.678,133.267,263.923,50.2,43.297,0.02017,0.03266,0.60514
13,Medium,13,77.267,130.678,133.533,264.03,50.2,43.297,0.02087,0.03279,0.62615
14,Medium,14,77.267,130.678,133.8,264.145,50.2,43.297,0.0201,0.0325,0.60314
15,Medium,15,77.267,130.678,134.067,264.269,50.2,43.297,0.01984,0.03251,0.5951
16,Medium,16,77.2,130.639,134.333,264.4,50.2,43.297,0.01997,0.03251,0.59914
17,Medium,17,77.233,130.658,134.5,264.486,50.2,43.297,0.02014,0.03272,0.60414
18,Medium,18,77.233,130.658,134.5,264.486,50.2,43.297,0.0208,0.03255,0.62415
19,Medium,19,77.233,130.658,134.5,264.486,50.2,43.297,0.0201,0.0326,0.60314
20,Medium,20,77.233,130.658,134.5,264.486,50.2,43.297,0.02087,0.03634,0.62614
