,difficult,merge_time,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,plan_time_avg,plan_time_std,plan_time_total
0,Hard,0,,,,,,,,,0.0
1,Hard,1,,,,,,,,,0.0
2,Hard,2,,,,,,,,,0.0
3,Hard,3,,,,,,,,,0.0
4,Hard,4,,,,,,,,,0.0
5,Hard,5,,,,,,,,,0.0
6,Hard,6,,,,,,,,,0.0
7,Hard,7,,,,,,,,,0.0
8,Hard,8,,,,,,,,,0.0
9,Hard,9,,,,,,,,,0.0
10,Hard,10,,,,,,,,,0.0
11,Hard,11,,,,,,,,,0.0
12,Hard,12,,,,,,,,,0.0
13,Hard,13,,,,,,,,,0.0
14,Hard,14,,,,,,,,,0.0
15,Hard,15,,,,,,,,,0.0
16,Hard,16,,,,,,,,,0.0
17,Hard,17,,,,,,,,,0.0
18,Hard,18,,,,,,,,,0.0
19,Hard,19,,,,,,,,,0.0
20,Hard,20,,,,,,,,,0.0
