,max_actcopy,literals_num,depth,iters,state,act,btalgorithm,tree_size_avg,tree_size_std,ticks_avg,ticks_std,cost_avg,cost_std,state_num_avg,state_num_std,expand_num_avg,expand_num_std,plan_time_avg,plan_time_std,plan_time_total
0,5,10,10,5,14.65,59.93,OBTEA,29.12,32.015,25.93,27.747,10.46,14.058,24.86,13.768,10.1,10.891,0.0014,0.00165,0.28007
1,5,10,10,5,14.65,59.93,Baseline,87.83,71.542,39.67,50.777,56.96,46.799,29.49,23.292,1.46,1.307,0.00085,0.00229,0.17004
2,5,10,10,10,19.19,80.25,OBTEA,24.4,31.917,17.48,13.129,5.23,11.451,27.58,14.813,8.18,9.955,0.00126,0.00175,0.25206
3,5,10,10,10,19.19,80.25,Baseline,85.23,49.555,29.91,31.374,43.42,38.856,28.75,16.214,1.08,0.643,0.00039,0.0008,0.07715
4,5,10,10,100,89.7,439.72,OBTEA,46.08,80.822,15.06,9.277,0.94,0.278,102.21,39.854,14.65,25.804,0.00679,0.01164,1.35743
5,5,10,10,100,89.7,439.72,Baseline,346.41,150.44,43.18,51.709,31.96,34.278,115.85,49.788,0.93,0.255,0.00083,0.00046,0.16514
6,5,10,10,300,216.67,1236.97,OBTEA,37.51,100.637,15.77,9.737,0.91,0.288,259.77,104.519,11.56,31.122,0.0157,0.05262,3.13993
7,5,10,10,300,216.67,1236.97,Baseline,868.82,385.782,45.68,54.55,25.99,29.801,290,127.814,0.91,0.286,0.00204,0.00077,0.40726
8,10,10,10,180,143.11,1229.87,OBTEA,48.55,144.748,15.43,10.633,0.93,0.256,288.98,110.209,15.78,45.862,0.02199,0.07333,4.39855
9,10,10,10,180,143.11,1229.87,Baseline,1001.73,436.839,69.97,79.528,27.67,34.459,334.29,144.776,0.93,0.255,0.0021,0.00074,0.41921
10,20,10,10,100,89.97,1274.46,OBTEA,102.01,266.223,14.49,9.416,0.88,0.327,285.6,137.209,32.8,86.022,0.04832,0.1334,9.665
11,20,10,10,100,89.97,1274.46,Baseline,973.67,509.199,90.14,130.34,29.82,33.093,324.97,168.729,0.88,0.325,0.00193,0.00089,0.38608
